Item you want: Block you need to mine
acacia_button: waxed_weathered_cut_copper_stairs
red_sandstone: barrel
red_sandstone_slab: target
red_sandstone_stairs: cobbled_deepslate
red_sandstone_wall: melon_stem
red_shulker_box: andesite
red_stained_glass: leaf_litter
red_stained_glass_pane: redstone_wire
red_terracotta: grindstone
red_tulip: sea_pickle
red_wool: activator_rail
reinforced_deepslate: pink_tulip
repeater: bricks
resin_block: sculk_shrieker
resin_bricks: dead_fire_coral
resin_brick_slab: oxidized_copper_door
resin_brick_stairs: pitcher_crop
resin_brick_wall: orange_banner
resin_clump: potted_oxeye_daisy
respawn_anchor: weathered_copper_chain
rooted_dirt: black_carpet
rose_bush: orange_stained_glass
sand: blue_stained_glass_pane
sandstone: grass_block
sandstone_slab: blue_bed
sandstone_stairs: cut_red_sandstone_slab
sandstone_wall: oxidized_chiseled_copper
scaffolding: white_terracotta
sculk: warped_trapdoor
sculk_catalyst: weathered_copper_lantern
sculk_sensor: waxed_copper_chain
sculk_shrieker: polished_sulfur_wall
sculk_vein: white_concrete
seagrass: hopper
sea_lantern: warped_hanging_sign
sea_pickle: dark_oak_slab
short_dry_grass: potted_dead_bush
short_grass: acacia_fence_gate
shroomlight: mangrove_roots
shulker_box: waxed_weathered_chiseled_copper
skeleton_skull: mangrove_sign
slime_block: packed_ice
small_amethyst_bud: tube_coral
small_dripleaf: orange_stained_glass_pane
smithing_table: deepslate_lapis_ore
smoker: cut_red_sandstone
smooth_basalt: lantern
smooth_quartz: dead_horn_coral_fan
smooth_quartz_slab: brick_slab
smooth_quartz_stairs: snow
smooth_red_sandstone: granite_slab
smooth_red_sandstone_slab: sunflower
smooth_red_sandstone_stairs: yellow_stained_glass
smooth_sandstone: crying_obsidian
smooth_sandstone_slab: gray_banner
smooth_sandstone_stairs: mangrove_log
smooth_stone: oak_sign
smooth_stone_slab: gold_block
sniffer_egg: waxed_copper_chest
snow: red_nether_bricks
snow_block: deepslate
soul_campfire: exposed_cut_copper_stairs
soul_fire: purple_stained_glass_pane
soul_lantern: bubble_coral_block
soul_sand: exposed_copper_trapdoor
soul_soil: magenta_terracotta
soul_torch: pale_oak_trapdoor
spawner: pale_oak_sign
sponge: infested_cracked_stone_bricks
spore_blossom: iron_chain
spruce_button: orange_terracotta
spruce_door: black_bed
spruce_fence: cyan_candle
spruce_fence_gate: magenta_concrete_powder
spruce_hanging_sign: brown_mushroom_block
spruce_leaves: oxidized_copper_lantern
spruce_log: lectern
spruce_planks: deepslate_brick_stairs
spruce_pressure_plate: potted_oak_sapling
spruce_sapling: tube_coral_block
spruce_shelf: pointed_dripstone
spruce_sign: cinnabar_brick_wall
spruce_slab: deepslate_tiles
spruce_stairs: waxed_oxidized_copper_bulb
spruce_trapdoor: orange_concrete
spruce_wood: purple_bed
sticky_piston: end_stone_brick_stairs
stone: chiseled_polished_blackstone
stonecutter: copper_trapdoor
stone_bricks: cyan_stained_glass_pane
stone_brick_slab: lime_stained_glass
stone_brick_stairs: cherry_pressure_plate
stone_brick_wall: waxed_cut_copper_slab
stone_button: potted_closed_eyeblossom
stone_pressure_plate: jungle_fence
stone_slab: redstone_lamp
stone_stairs: shulker_box
stripped_acacia_log: bamboo_mosaic_stairs
stripped_acacia_wood: birch_shelf
stripped_bamboo_block: andesite_stairs
stripped_birch_log: waxed_weathered_copper_door
stripped_birch_wood: lightning_rod
stripped_cherry_log: iron_ore
stripped_cherry_wood: tuff_brick_slab
stripped_crimson_hyphae: verdant_froglight
stripped_crimson_stem: waxed_weathered_cut_copper
stripped_dark_oak_log: sulfur
stripped_dark_oak_wood: pink_petals
stripped_jungle_log: stone_button
stripped_jungle_wood: horn_coral_block
stripped_mangrove_log: potted_birch_sapling
stripped_mangrove_wood: acacia_sapling
stripped_oak_log: dead_tube_coral_fan
stripped_oak_wood: exposed_copper_bars
stripped_pale_oak_log: amethyst_cluster
stripped_pale_oak_wood: red_sandstone_stairs
stripped_spruce_log: jack_o_lantern
stripped_spruce_wood: oak_stairs
stripped_warped_hyphae: magenta_stained_glass_pane
stripped_warped_stem: purple_carpet
sugar_cane: lever
sulfur: cyan_shulker_box
sulfur_bricks: copper_golem_statue
sulfur_brick_slab: copper_door
sulfur_brick_stairs: purple_concrete
sulfur_brick_wall: candle
sulfur_slab: weeping_vines
sulfur_spike: yellow_concrete
sulfur_stairs: brown_concrete_powder
sulfur_wall: end_stone_bricks
sunflower: smooth_red_sandstone_stairs
suspicious_gravel: waxed_weathered_copper_golem_statue
suspicious_sand: cherry_shelf
sweet_berry_bush: acacia_wood
tall_dry_grass: potted_lily_of_the_valley
tall_grass: acacia_slab
tall_seagrass: glass_pane
target: warped_nylium
terracotta: pale_oak_door
tinted_glass: glowstone
tnt: bamboo_sign
torch: resin_brick_stairs
torchflower: gold_ore
torchflower_crop: yellow_candle_cake
trapped_chest: gray_carpet
trial_spawner: brown_mushroom
tripwire: chiseled_red_sandstone
tripwire_hook: gray_stained_glass_pane
tube_coral: black_banner
tube_coral_block: brown_stained_glass
tube_coral_fan: cherry_planks
tuff: exposed_cut_copper_slab
tuff_bricks: blue_carpet
tuff_brick_slab: cyan_concrete_powder
tuff_brick_stairs: cherry_trapdoor
tuff_brick_wall: mushroom_stem
tuff_slab: hay_block
tuff_stairs: dragon_head
tuff_wall: stone_bricks
turtle_egg: nether_wart_block
twisting_vines: raw_copper_block
twisting_vines_plant: polished_andesite_slab
vault: bamboo_hanging_sign
verdant_froglight: oak_shelf
vine: blue_concrete_powder
warped_button: lime_terracotta
warped_door: cinnabar_brick_slab
warped_fence: polished_blackstone_brick_slab
warped_fence_gate: spruce_sign
warped_fungus: magenta_candle_cake
warped_hanging_sign: birch_planks
warped_hyphae: dark_oak_sapling
warped_nylium: polished_blackstone_slab
warped_planks: dark_oak_stairs
warped_pressure_plate: poppy
warped_roots: spruce_slab
warped_shelf: polished_blackstone_brick_stairs
warped_sign: spruce_pressure_plate
warped_slab: polished_cinnabar_slab
warped_stairs: dark_oak_pressure_plate
warped_stem: waxed_copper_golem_statue
warped_trapdoor: bell
warped_wart_block: crimson_roots
water_cauldron: vault
waxed_chiseled_copper: coal_block
waxed_copper_bars: chiseled_quartz_block
waxed_copper_block: red_glazed_terracotta
waxed_copper_bulb: nether_portal
waxed_copper_chain: sniffer_egg
waxed_copper_chest: waxed_weathered_copper
waxed_copper_door: chorus_plant
waxed_copper_golem_statue: resin_bricks
waxed_copper_grate: hanging_roots
waxed_copper_lantern: pearlescent_froglight
waxed_copper_trapdoor: red_nether_brick_stairs
waxed_cut_copper: mud_brick_wall
waxed_cut_copper_slab: pale_oak_shelf
waxed_cut_copper_stairs: waxed_copper_door
waxed_exposed_chiseled_copper: light_gray_bed
waxed_exposed_copper: cherry_log
waxed_exposed_copper_bars: green_shulker_box
waxed_exposed_copper_bulb: tube_coral_fan
waxed_exposed_copper_chain: dead_horn_coral_block
waxed_exposed_copper_chest: lime_carpet
waxed_exposed_copper_door: brown_banner
waxed_exposed_copper_golem_statue: oxeye_daisy
waxed_exposed_copper_grate: attached_melon_stem
waxed_exposed_copper_lantern: nether_brick_stairs
waxed_exposed_copper_trapdoor: jungle_hanging_sign
waxed_exposed_cut_copper: quartz_slab
waxed_exposed_cut_copper_slab: nether_quartz_ore
waxed_exposed_cut_copper_stairs: waxed_exposed_chiseled_copper
waxed_exposed_lightning_rod: lime_bed
waxed_lightning_rod: oxidized_copper_golem_statue
waxed_oxidized_chiseled_copper: stripped_acacia_wood
waxed_oxidized_copper: gray_shulker_box
waxed_oxidized_copper_bars: smooth_sandstone_stairs
waxed_oxidized_copper_bulb: warped_stairs
waxed_oxidized_copper_chain: deepslate_tile_slab
waxed_oxidized_copper_chest: waxed_exposed_copper_bulb
waxed_oxidized_copper_door: crimson_trapdoor
waxed_oxidized_copper_golem_statue: dried_kelp_block
waxed_oxidized_copper_grate: waxed_oxidized_copper_lantern
waxed_oxidized_copper_lantern: stripped_mangrove_wood
waxed_oxidized_copper_trapdoor: cartography_table
waxed_oxidized_cut_copper: exposed_cut_copper
waxed_oxidized_cut_copper_slab: acacia_shelf
waxed_oxidized_cut_copper_stairs: pale_oak_planks
waxed_oxidized_lightning_rod: light_gray_candle
waxed_weathered_chiseled_copper: exposed_copper_chest
waxed_weathered_copper: birch_trapdoor
waxed_weathered_copper_bars: light_gray_stained_glass_pane
waxed_weathered_copper_bulb: copper_chest
waxed_weathered_copper_chain: diamond_ore
waxed_weathered_copper_chest: brown_candle
waxed_weathered_copper_door: cobblestone_slab
waxed_weathered_copper_golem_statue: dead_tube_coral
waxed_weathered_copper_grate: trapped_chest
waxed_weathered_copper_lantern: mud_brick_stairs
waxed_weathered_copper_trapdoor: big_dripleaf_stem
waxed_weathered_cut_copper: attached_pumpkin_stem
waxed_weathered_cut_copper_slab: polished_granite_stairs
waxed_weathered_cut_copper_stairs: shroomlight
waxed_weathered_lightning_rod: lime_concrete_powder
weathered_chiseled_copper: copper_lantern
weathered_copper: oak_button
weathered_copper_bars: yellow_stained_glass_pane
weathered_copper_bulb: smooth_red_sandstone
weathered_copper_chain: orange_candle_cake
weathered_copper_chest: gray_wool
weathered_copper_door: soul_fire
weathered_copper_golem_statue: bamboo_shelf
weathered_copper_grate: chiseled_tuff
weathered_copper_lantern: sandstone_stairs
weathered_copper_trapdoor: pink_carpet
weathered_cut_copper: twisting_vines_plant
weathered_cut_copper_slab: copper_torch
weathered_cut_copper_stairs: fern
weathered_lightning_rod: spruce_leaves
weeping_vines: prismarine_bricks
weeping_vines_plant: piston
wet_sponge: polished_tuff_stairs
wheat: chiseled_resin_bricks
white_banner: dark_oak_button
white_bed: sea_lantern
white_candle: black_concrete
white_candle_cake: honeycomb_block
white_carpet: birch_stairs
white_concrete: infested_chiseled_stone_bricks
white_concrete_powder: waxed_exposed_copper_door
white_glazed_terracotta: crimson_button
white_shulker_box: exposed_copper
white_stained_glass: daylight_detector
white_stained_glass_pane: red_nether_brick_slab
white_terracotta: exposed_copper_golem_statue
white_tulip: waxed_exposed_cut_copper
white_wool: packed_mud
wildflowers: gray_concrete
wither_rose: oak_fence
wither_skeleton_skull: white_shulker_box
yellow_banner: raw_iron_block
yellow_bed: cactus
yellow_candle: fire_coral_block
yellow_candle_cake: copper_bulb
yellow_carpet: polished_granite_slab
yellow_concrete: comparator
yellow_concrete_powder: rose_bush
yellow_glazed_terracotta: orange_carpet
yellow_shulker_box: dripstone_block
yellow_stained_glass: stripped_cherry_wood
yellow_stained_glass_pane: trial_spawner
yellow_terracotta: deepslate_redstone_ore
yellow_wool: diamond_block
zombie_head: green_terracotta
